176.58,6.7937,764.86,-0.25982,0.16043
161.03,5.9829,291.48,0.76423,3.1636
110.06,6.3818,563.85,1.2681,1.6944
126.73,6.7687,896.04,0.9896,0.69999
116.02,6.6432,848.84,1.2189,1.2208
97.648,6.735,1440.5,1.8618,3.5027
144.87,6.4288,565.63,-0.085679,4.0644
103.41,6.4214,530.1,0.28846,3.1046
128.6,6.9089,996.12,-0.11342,1.7938
101.1,6.3083,487.03,1.2001,2.0246
87.222,6.1774,628.02,3.0553,14.592
108.49,5.9832,305.42,-0.022917,2.2893
138.8,5.3354,223.11,3.1109,17.552
112.41,6.8406,1259.6,0.90339,0.88387
110.69,6.8114,1240.4,0.95792,1.119
103.77,6.9369,1387.8,1.374,2.5974
128.03,5.7811,213.56,0.93109,4.2208
105.75,7.1474,2044.2,1.217,0.90727
154.69,7.1689,1457.3,-0.70675,-0.0022034
106.01,6.6816,1789.9,1.6464,1.7481
98.462,5.6155,750.32,2.9124,9.2304
150.97,6.2514,369.94,-0.26559,0.72444
157.29,6.3258,398.47,0.23021,0.76628
150.61,6.5276,516.31,0.34979,-0.044066
104.16,6.5728,636.95,0.87935,3.0531
108.84,6.6359,624.07,-0.067751,0.048363
132.94,5.3913,142.93,0.53983,0.90811
134.51,5.4335,150.38,0.38059,0.48319
132.63,6.41,507.98,0.52181,-0.44527
133.59,5.2576,91.292,-0.090186,1.4646
133.93,6.4445,644.31,1.1358,4.6666
146.89,5.7606,364.13,-2.279,10.449
125.29,5.1637,166.97,3.2797,22.016
128.53,5.6686,242.37,2.5133,13.051
151.76,6.726,812.45,-0.55002,0.90863
114.83,6.7215,858.9,1.2133,3.0426
118.42,5.4939,154.03,1.5604,9.8012
141.07,4.8832,68.17,0.047833,0.50226
109.98,6.2289,424.39,1.1468,2.4543
133.8,6.8813,946.57,0.63298,-0.13691
103.9,6.3818,523.1,0.72798,0.1709
146.01,6.8663,834.05,0.13537,-0.43294
132.95,5.7576,251.04,0.19923,7.4999
176.58,6.7937,764.86,-0.25982,0.16043
110.69,6.8114,1240.4,0.95792,1.119
103.41,6.4214,530.1,0.28846,3.1046
144.87,6.4288,565.63,-0.085679,4.0644
98.048,6.9481,1368,1.4351,3.0674
142.08,6.6159,632.87,0.02415,-0.24005
124.88,7.1023,1217,0.1359,0.086293
120.93,7.2683,1466.5,0.20114,-0.44764
101.1,6.3083,487.03,1.2001,2.0246
87.222,6.1774,628.02,3.0553,14.592
110.75,6.3917,464.78,-0.22742,1.5064
112.95,5.2823,193.86,2.4208,11.805
157.29,6.3258,398.47,0.23021,0.76628
137.93,6.3964,440.76,0.46317,0.16969
150.61,6.5276,516.31,0.34979,-0.044066
150.97,6.2514,369.94,-0.26559,0.72444
112.28,6.9495,1266.2,0.94228,0.41668
106.01,6.6816,1789.9,1.6464,1.7481
125.18,6.5854,670.65,-0.12672,1.5513
156.76,6.2515,346.28,0.14178,-0.37391
98.462,5.6155,750.32,2.9124,9.2304
145.13,6.729,676.32,0.041543,-0.36671
103.77,6.9369,1387.8,1.374,2.5974
103.93,6.2842,1036.9,2.5817,7.455
128.03,5.7811,213.56,0.93109,4.2208
97.648,6.735,1440.5,1.8618,3.5027
126.73,6.7687,896.04,0.9896,0.69999
93.769,7.1006,2061.1,1.6476,3.2267
149.07,6.7816,738.69,0.37392,0.38043
136.27,7.0555,1110.3,0.54316,0.34857
144.31,7.3726,2432.2,-0.71895,-0.49304
145.58,6.7029,708.69,0.45882,0.85342
